,Households,NPISHs,Central government,Local government,Total,Gross fixed capital formation,Valuables,Change in inventories,Total,Non-resident households,"Rest of
UK
exports",Rest of world exports,Total,Total final use, Total use for industry output
Business support services,29.3459665155126,0.6616477106694701,0.06595486759677595,0.4678652059638566,30.5414342997427,10.01394902067097,0,-0.2461192050007395,9.767829815670229,2.274470700944515,545.0579687028941,154.5608657894117,701.8933051932503,742.2025693086632,1094.424979575063
Public administration & defence,217.9067772096241,0,7706.51420294627,4042.768827767085,11967.18980792298,239.9765668583679,0,-1.180380843222271,238.7961860151456,0.01237595029137616,48.12988201523245,48.96594385172618,97.10820181725,12303.09419575538,13610.7221542488
Education,573.6107083836076,1766.312814161768,569.982976293068,4042.64131398353,6952.547812821973,648.3629911873198,0,-3.363479445014518,644.9995117423053,159.3809460532263,465.3733377623578,550.9005323648975,1175.654816180481,8773.20214074476,10115.60280464432
Health,533.270674696474,137.3285213702796,11206.03886520324,0,11876.63806127,30.61093647565331,0,-0.01189253556802844,30.59904394008529,1.628750064107816,29.35832816152949,16.27984592864522,47.26692415428252,11954.50402936436,12037.66696336248
Residential care and social work,812.5065654214635,367.8702250526441,0,2941.127828922366,4121.504619396474,4.372722644305219,0,0.0003135084090894079,4.373036152714308,7.326972153343374,10.86425824232558,6.441721904733622,24.63295230040258,4150.510607849591,4833.958487168166
Creative services,65.71361786113087,61.01894538532584,0.06144344926095235,30.4323471585808,157.2263538542985,4.095321903224971,0,-1.139126503326841,2.95619539989813,24.26562662131659,44.1184157060475,107.8268708839097,176.2109132112738,336.3934624654704,362.3670154695733
Cultural services,134.5055204638113,20.13169011407854,0,174.8210983835087,329.4583089613985,0.6768330589586652,10.51050220489694,-0.00637174429163902,11.18096351956397,27.47047243735453,16.48922530638102,5.196260706170832,49.15595844990638,389.7952309308689,446.7891608669506
Gambling,479.2041349772119,0.01791661631875978,0.080146403478678,0.08070087260067468,479.3828988696101,25.8725996778753,0,0.0481940776868245,25.92079375556213,8.293017397294404,221.1398124709724,32.54112624604591,261.9739561143127,767.2776487394849,863.2694238845346
Sports & recreation,791.596474236187,19.73474703821345,2.837790295720761,320.0620530106085,1134.23106458073,3.853709585658594,0.0150371340471743,-0.05334442402664723,3.815402295679121,25.58270351181097,64.78821255647452,35.82696923641905,126.1978853047045,1264.244352181113,1412.618249039154
Membership organisations,240.7336341612735,268.7335921709876,0.009689525635172924,0.0687347586641786,509.5456506165605,1.785353305021521,0,-0.01451046246631491,1.770842842555206,0.5104921561379592,5.684702781346591,3.200245795801036,9.395440733285586,520.7119341924013,613.1133634368668
Repairs - personal and household,44.03896221410011,0.003349335714011664,0,0,44.04231154981412,3.171240141879947,0.004289718078341517,-0.02276871661230152,3.152761143345987,2.10186201463472,51.14455911243819,8.756589540221356,62.00301066729427,109.1980833604544,244.1962038068818
Other personal services,1140.430738500371,0.4213102636038905,0.02302272652246534,0.1633167206420005,1141.038388211139,8.78496843835064,0,-2.073282714521741,6.711685723828899,9.960641761723561,55.86211466867631,18.68074211633146,84.50349854673134,1232.253572481699,1406.763206198335
Households as employers,136.3001573589945,0.0001562435760656839,0,0,136.3003136025705,0,0,0,0,1.925435234190614,1.039931307190023,0.545418350093894,3.510784891474532,139.811098494045,140.0000000400084
